absolute_error,squared_error,sqrt(squared_error),Accuracy,Store,Department
0.088722,0.108811,0.329865,99.831122,4,80
0.014606,0.000763,0.027618,99.998411,4,81
0.146206,0.463877,0.681085,99.616859,4,82
0.027925,0.001374,0.037072,99.996331,4,83
0.020076,0.000605,0.024593,92.828027,4,85
0.075201,0.050101,0.223833,99.937162,4,87
0.06066,0.070095,0.264755,99.881378,4,90
0.032479,0.007505,0.086634,99.986387,4,91
0.111872,0.19069,0.436681,99.867852,4,92
0.029588,0.002815,0.053054,99.990564,4,93
0.082415,0.041982,0.204894,99.970747,4,94
0.057563,0.03483,0.186628,99.941059,4,95
0.055038,0.024053,0.15509,99.950734,4,96
0.035346,0.017091,0.130732,99.975997,4,97
0.045737,0.00829,0.09105,99.987081,4,98
0.058471,0.017238,0.131294,77.284837,4,99
0.028344,0.001951,0.044171,92.560464,5,1
0.011839,0.000246,0.015691,89.399898,5,2
0.019257,0.001186,0.034437,83.882738,5,3
0.010759,0.000183,0.013536,90.621051,5,4
0.038788,0.002395,0.04894,92.435275,5,5
0.03406,0.004204,0.064838,91.031712,5,6
0.046137,0.004651,0.068201,94.802723,5,7
0.011308,0.000224,0.014961,93.694401,5,8
0.029545,0.001805,0.042485,94.296968,5,9
0.022508,0.000719,0.026816,86.281012,5,10
0.024011,0.000885,0.029745,92.985395,5,11
0.012958,0.000286,0.016924,89.258376,5,12
0.008734,0.000116,0.010784,91.535095,5,13
0.022042,0.001695,0.041174,91.529609,5,14
0.031606,0.001909,0.043698,98.44821,5,16
0.012567,0.000291,0.01706,94.935562,5,17
0.044437,0.004057,0.063694,97.594184,5,18
0.002785,0.000016,0.004057,85.905637,5,19
0.020014,0.000976,0.031246,82.515704,5,20
0.010098,0.000157,0.012545,85.990877,5,21
0.021904,0.000707,0.026582,91.602039,5,22
0.022513,0.001054,0.032466,94.611687,5,23
0.021485,0.000808,0.028427,92.756421,5,24
0.017261,0.000515,0.022697,91.089178,5,25
0.014143,0.000397,0.019924,94.348933,5,26
0.004077,0.000031,0.005609,95.035841,5,27
0.002566,0.00001,0.003215,93.5545,5,28
0.011372,0.00024,0.015482,90.538342,5,29
0.007534,0.000094,0.009698,94.513302,5,30
0.009593,0.000176,0.013271,92.931272,5,31
0.028481,0.001836,0.042853,92.696628,5,32
0.021068,0.000999,0.031615,86.275883,5,33
0.018296,0.000577,0.024029,94.127084,5,34
0.013178,0.00028,0.016725,91.706373,5,35
0.014625,0.000531,0.023048,91.43681,5,36
0.036379,0.001792,0.042336,87.957612,5,38
0.014959,0.000318,0.017835,93.862266,5,40
0.010194,0.000193,0.013884,95.385712,5,41
0.013841,0.000324,0.017993,86.551888,5,42
0.0135,0.000249,0.015782,91.0873,5,44
0.001019,0.000002,0.001443,75.001761,5,45
0.014035,0.000367,0.019162,96.143482,5,46
0.006748,0.00009,0.009477,69.202767,5,47
0.001735,0.000005,0.002185,82.723998,5,49
0.009285,0.000163,0.012751,85.472761,5,52
0.002733,0.000014,0.00368,84.559841,5,54
0.021494,0.00071,0.026644,91.061023,5,55
0.022608,0.000862,0.029357,97.576608,5,56
0.031107,0.00151,0.038852,86.401747,5,58
