absolute_error,squared_error,sqrt(squared_error),Accuracy,Store,Department
0.046042,0.003003,0.054796,91.556949,5.000000,56.000000
0.060384,0.004713,0.068648,57.547889,5.000000,58.000000
0.003362,0.000020,0.004450,97.952681,5.000000,59.000000
0.008875,0.000096,0.009815,46.564532,5.000000,60.000000
0.061350,0.004676,0.068381,83.263625,5.000000,67.000000
0.022115,0.000735,0.027117,66.662835,5.000000,71.000000
0.105352,0.014360,0.119834,67.205325,5.000000,72.000000
0.040504,0.002327,0.048235,59.789424,5.000000,74.000000
0.025949,0.000906,0.030106,53.309255,5.000000,79.000000
0.211233,0.093051,0.305043,99.795480,5.000000,80.000000
0.011167,0.000205,0.014319,92.073241,5.000000,81.000000
0.025618,0.001114,0.033382,75.916479,5.000000,82.000000
0.027730,0.000912,0.030199,72.004767,5.000000,85.000000
0.041190,0.002292,0.047880,81.994727,5.000000,87.000000
0.020011,0.000545,0.023345,92.649316,5.000000,90.000000
0.013813,0.000276,0.016612,88.727772,5.000000,91.000000
0.031388,0.001299,0.036045,78.183937,5.000000,92.000000
0.021625,0.000657,0.025639,69.629008,5.000000,94.000000
0.023744,0.000735,0.027111,94.441149,5.000000,95.000000
0.031849,0.001460,0.038206,95.049104,5.000000,96.000000
0.009141,0.000104,0.010177,34.616024,5.000000,97.000000
0.001581,0.000003,0.001777,91.387979,5.000000,98.000000
0.100221,0.045662,0.213687,99.936150,5.000000,99.000000
0.163685,0.035662,0.188843,64.951149,6.000000,1.000000
0.035699,0.001797,0.042388,81.524983,6.000000,2.000000
0.046566,0.004174,0.064608,96.622125,6.000000,3.000000
0.028832,0.001228,0.035043,78.531925,6.000000,4.000000
0.077102,0.008977,0.094749,88.752393,6.000000,5.000000
0.081348,0.009296,0.096416,86.029396,6.000000,6.000000
0.117752,0.017903,0.133803,90.081613,6.000000,7.000000
0.026865,0.001057,0.032517,45.409305,6.000000,8.000000
0.112886,0.020705,0.143893,76.766763,6.000000,9.000000
0.038555,0.002113,0.045967,78.040189,6.000000,10.000000
0.056874,0.004268,0.065328,86.542124,6.000000,11.000000
0.039984,0.001982,0.044520,78.167489,6.000000,12.000000
0.027638,0.000908,0.030135,73.707042,6.000000,13.000000
0.051557,0.004008,0.063308,58.749540,6.000000,14.000000
0.081713,0.009171,0.095766,97.429628,6.000000,16.000000
0.047941,0.003359,0.057958,81.656332,6.000000,17.000000
0.264892,0.085923,0.293126,84.600903,6.000000,18.000000
0.048795,0.003067,0.055385,86.098493,6.000000,19.000000
0.045900,0.002914,0.053977,75.457217,6.000000,20.000000
0.032460,0.001481,0.038480,91.965156,6.000000,21.000000
0.053497,0.004118,0.064168,87.338090,6.000000,22.000000
0.061266,0.005738,0.075748,89.895137,6.000000,23.000000
0.053453,0.004776,0.069107,91.487644,6.000000,24.000000
0.062281,0.005100,0.071415,86.990261,6.000000,25.000000
0.049117,0.003961,0.062933,76.476171,6.000000,26.000000
0.027474,0.001024,0.032000,46.653541,6.000000,27.000000
0.010402,0.000148,0.012174,91.625288,6.000000,28.000000
0.039554,0.002311,0.048069,91.603374,6.000000,29.000000
0.036210,0.001906,0.043655,62.346898,6.000000,30.000000
0.039194,0.002516,0.050161,85.395607,6.000000,31.000000
0.075508,0.009178,0.095802,92.776922,6.000000,32.000000
0.080489,0.009651,0.098241,74.736424,6.000000,33.000000
0.057204,0.004726,0.068743,80.335005,6.000000,34.000000
0.039188,0.002022,0.044969,72.031843,6.000000,35.000000
0.082711,0.008471,0.092039,90.672963,6.000000,36.000000
0.024448,0.000729,0.026992,70.171953,6.000000,37.000000
0.044334,0.002768,0.052610,66.480855,6.000000,38.000000
0.021131,0.000581,0.024103,79.837750,6.000000,40.000000
0.050814,0.004205,0.064849,91.709259,6.000000,41.000000
0.029687,0.001151,0.033921,78.090130,6.000000,42.000000
0.044658,0.002702,0.051981,75.170100,6.000000,44.000000
0.003433,0.000014,0.003802,79.560608,6.000000,45.000000
0.038462,0.002186,0.046751,89.925389,6.000000,46.000000
0.003783,0.000029,0.005340,99.305478,6.000000,47.000000
0.087396,0.009756,0.098775,72.825923,6.000000,48.000000
0.067897,0.006147,0.078406,65.741344,6.000000,49.000000
0.053406,0.003712,0.060924,62.562346,6.000000,52.000000
0.012724,0.000244,0.015622,60.697904,6.000000,54.000000
0.074808,0.007675,0.087605,93.730103,6.000000,55.000000
0.080981,0.009683,0.098405,96.107452,6.000000,56.000000
0.102716,0.012903,0.113593,62.562877,6.000000,58.000000
0.044009,0.002301,0.047968,90.066044,6.000000,59.000000
0.008130,0.000088,0.009371,73.999685,6.000000,60.000000
0.095382,0.011252,0.106075,78.807356,6.000000,67.000000
0.077904,0.007286,0.085356,55.105958,6.000000,71.000000
0.062170,0.005962,0.077213,80.803382,6.000000,72.000000
0.048518,0.003051,0.055232,65.365802,6.000000,74.000000
0.040468,0.002224,0.047162,64.580695,6.000000,79.000000
0.030248,0.001208,0.034751,48.280799,6.000000,80.000000
0.034078,0.001405,0.037481,80.638445,6.000000,81.000000
0.059826,0.005467,0.073938,87.458061,6.000000,82.000000
0.027782,0.001105,0.033236,87.149659,6.000000,83.000000
0.033390,0.001841,0.042911,87.884795,6.000000,85.000000
0.046010,0.002879,0.053655,85.001558,6.000000,87.000000
0.037085,0.001840,0.042893,70.473908,6.000000,90.000000
0.028893,0.001113,0.033364,66.398955,6.000000,91.000000
0.029964,0.001394,0.037330,91.613888,6.000000,92.000000
0.045157,0.002835,0.053242,77.431007,6.000000,93.000000
0.037579,0.001940,0.044044,83.538258,6.000000,94.000000
0.035809,0.001795,0.042373,84.305369,6.000000,95.000000
0.044245,0.002917,0.054011,86.959274,6.000000,96.000000
0.032497,0.001491,0.038617,79.412181,6.000000,97.000000
0.052397,0.003949,0.062838,71.876321,6.000000,98.000000
0.016920,0.000562,0.023696,91.970909,6.000000,99.000000
0.079846,0.009523,0.097588,80.512572,7.000000,1.000000
0.040932,0.002395,0.048934,86.079620,7.000000,2.000000
0.061631,0.005273,0.072614,81.425009,7.000000,3.000000
0.040545,0.002089,0.045703,82.296141,7.000000,4.000000
0.067944,0.007651,0.087469,92.510787,7.000000,5.000000
0.109601,0.015720,0.125381,61.806112,7.000000,6.000000
0.092136,0.012372,0.111229,87.144196,7.000000,7.000000
0.029354,0.001246,0.035301,51.737546,7.000000,8.000000
0.092803,0.011559,0.107512,94.138394,7.000000,9.000000
0.043890,0.002689,0.051856,75.095290,7.000000,10.000000
0.054978,0.003980,0.063084,85.086778,7.000000,11.000000
0.034904,0.001812,0.042562,92.848475,7.000000,12.000000
0.031012,0.001269,0.035621,89.200044,7.000000,13.000000
0.056182,0.004182,0.064670,89.519557,7.000000,14.000000
0.075883,0.007809,0.088368,96.901811,7.000000,16.000000
0.036926,0.002109,0.045929,86.399073,7.000000,17.000000
0.096100,0.012948,0.113791,95.375244,7.000000,18.000000
0.015617,0.000412,0.020303,98.683375,7.000000,19.000000
0.036607,0.001760,0.041955,79.064528,7.000000,20.000000
0.033545,0.001440,0.037954,77.273681,7.000000,21.000000
0.057975,0.005008,0.070770,80.642873,7.000000,22.000000
0.058338,0.004759,0.068985,86.683395,7.000000,23.000000
0.055010,0.003948,0.062833,77.581742,7.000000,24.000000
0.056024,0.003984,0.063121,69.895792,7.000000,25.000000
0.034742,0.001706,0.041301,59.862082,7.000000,26.000000
0.012029,0.000176,0.013274,82.161166,7.000000,27.000000
0.006579,0.000057,0.007518,79.558388,7.000000,28.000000
